日付,プレーヤー,分類,タイトル,出典,要約,本文,リンク
2026-05-25,xAI・SpaceX,リリース,"xAI、コーディングエージェント「Grok Build」発表 — ウォール街へのGrok導入も加速",Bloomberg,"xAIが月額300ドルのコーディングエージェントGrok Buildをリリースし、モルガン・スタンレーやアポロなどへのGrok導入推進も報道された。","xAIはエンタープライズ向けコーディングエージェントGrok Build（SuperGrok Heavy加入者向け、月額300ドル）をリリース。同時にモルガン・スタンレーやアポロ・グローバルなどウォール街の大手金融機関がGrokの内部利用テストを開始したことが報じられた。SpaceXのIPO前に収益基盤を強化する狙いとみられ、AI開発ツール競争が一層激化している。日本の金融機関も競合AIツール選定の再評価が必要になる可能性がある。",https://www.bloomberg.com/news/articles/2026-05-13/musk-s-xai-races-to-get-wall-street-firms-to-use-grok-chatbot
2026-05-26,Google / DeepMind,リリース,"Google I/O 2026：Gemini Omni・Gemini 3.5 Flash・Gemini Sparkを一挙発表、MAUは9億人超に",CNBC,Google I/O 2026でGemini Omni（マルチモーダル生成）・Gemini 3.5 Flash（高速エージェント）・Gemini Spark（汎用エージェント）を発表し月間9億人超のユーザーを公表した。,"Google I/O 2026でGemini Omni（動画含むあらゆる入力からコンテンツ生成）・Gemini 3.5 Flash（エージェント型コーディング特化）・Gemini Spark（接続アプリ横断の汎用AIエージェント）を一挙発表。AI Ultraプランは月250ドルから200ドルに値下げ。Geminiアプリの月間アクティブユーザーは1年で4億人から9億人超に倍増し、1日あたりのリクエスト数も7倍超に成長。Google Workspaceと深く統合するため、日本企業は業務自動化の選択肢がさらに広がる転換点となる。",https://www.cnbc.com/2026/05/19/google-ai-ultra-gemini-spark-omni.html
2026-05-26,OpenAI,その他,"OpenAI、数週間以内にIPO申請を準備中 ── 秋のデビューを目指す",Bloomberg,OpenAIが今秋のIPOに向けて数週間以内に申請書類を提出する準備を進めていると報道された。,"OpenAIが今秋の株式公開（IPO）に向けて数週間以内に申請書類を提出する準備を進めていると複数メディアが報道した。上場により巨額の資金調達が見込まれ、AGI開発競争における資本力がさらに強化される見通し。非営利から営利転換を経ての株式公開は企業統治の大きな節目となり、日本の機関投資家にとっても投資対象として注目される。",https://www.bloomberg.com/news/articles/2026-05-20/openai-preparing-for-ipo-filing-in-days-or-weeks-wsj-reports
2026-05-26,Anthropic,提携,"Anthropic × KPMG グローバル提携：全27万6,000人超の従業員にClaude導入",Anthropic,KPMGがAnthropicとグローバル戦略提携を発表し税務・法務クライアント向けDigital GatewayへのClaude統合と全従業員アクセスを開始する。,"KPMGがAnthropicとのグローバル戦略提携を発表。税務・法律顧客向け新ツールを搭載した『Digital Gateway』へClaude APIを統合し、全27万6,000人超の従業員が利用できる環境を整備する。同時期にPwCも米国チームへのClaude Code展開と3万人の認定プログラム拡大を発表しており、四大会計事務所へのAthropicの浸透が加速している。日本のKPMGおよびPwCクライアント企業では監査・税務・法務業務でClaude活用サービスを受ける機会が早期に広がる。",https://www.anthropic.com/news/anthropic-kpmg
2026-05-26,xAI・SpaceX,その他,"xAI「Grok Build」コーディングエージェント公開 ── Morgan Stanley・Apolloも内部利用開始",eWeek,xAIがコーディングエージェント「Grok Build」をSuperGrok Heavyサブスクライバー向けにベータ公開し同時にウォール街大手2社の内部利用が明らかになった。,"xAIがコマンドラインベースのコーディングエージェント『Grok Build』をSuperGrok Heavyサブスクライバー向けにアーリーベータ公開した。開発者がプロジェクトフォルダ内でGrokに自然言語でタスクを指示できる仕組みで、Vercel・Canva・Gamma・S&P Globalとのプラットフォーム統合も同時発表。さらにMorgan StanleyとApollo Global ManagementがGrokの社内利用を開始したことも明らかになり、ウォール街での採用が本格化している。",https://www.eweek.com/news/xai-grok-build-coding-agent/
2026-05-26,Anthropic / 米国政府,規制,"Anthropic「Mythos」モデルがトリガー ── トランプ政権がAI監視強化を検討",Fortune,Anthropicの新モデル「Mythos」のサイバー脆弱性悪用能力を受けトランプ政権が先進AIモデルへの監視・審査制度導入を検討し始めた。,"Anthropicの新モデル『Mythos』がサイバーセキュリティ脆弱性の特定・悪用能力を持つとして国家安全保障上の懸念が浮上し、トランプ政権が先進AIモデルへの監視・審査制度の導入を検討し始めた。規制回避姿勢から転換する大きな政策シフトであり、Connecticut州のSB5可決やColoradoの包括的AI法（6月30日施行）と合わせて米国のAIガバナンスが急速に整備される局面に入っている。米国での規制強化は日本のAIガバナンス議論にも波及しやすく、特に金融・医療・防衛領域でAI活用を進める日本企業はコンプライアンス対応の見直しが求められる可能性がある。",https://fortune.com/2026/05/06/trump-administration-embraces-ai-oversight-policies-it-once-rejected-anthropic-mythos-caisi/
2026-05-27,OpenAI,資金調達,OpenAI、SECへのIPO申請を数週間以内に実施 — 9月上場・評価額最大1兆ドル,Bloomberg,OpenAIはSECへのIPO目論見書を機密提出する準備を整えており、2026年9月の株式公開を目指している。評価額は8,520億〜1兆ドルと見込まれており、AI企業史上最大のIPOとなる可能性がある。,"OpenAIはSECへのIPO目論見書を機密提出する準備を整えており、2026年9月の株式公開を目指している。評価額は8,520億〜1兆ドルと見込まれており、AI企業史上最大のIPOとなる可能性がある。公開市場参入により機関投資家・個人投資家からのAI関連資金流入が加速すると予想される。日本の機関投資家・証券会社にとってAI関連投資の主要な機会となり、OpenAI製品を採用している日本企業のパートナー価値も再評価される見込み。",https://www.bloomberg.com/news/articles/2026-05-20/openai-preparing-for-ipo-filing-in-days-or-weeks-wsj-reports
2026-05-27,Anthropic,資金調達,Anthropic、初の黒字化達成へ — Q2売上1.09兆円超・評価額9,000億ドルで300億ドル調達交渉中,TechCrunch,AnthropicはQ2（2026年4〜6月）に売上が前期比2倍超の約109億ドルに達し、初の営業黒字を達成する見込みであることを投資家に伝えた。同時に評価額9,000億ドル超での300億ドル新規調達交渉も進行中。,"AnthropicはQ2（2026年4〜6月）に売上が前期比2倍超の約109億ドルに達し、初の営業黒字を達成する見込みであることを投資家に伝えた。同時に評価額9,000億ドル超での300億ドル新規調達交渉も進行中。Claudeを活用している日本企業にとってサービス安定性・継続性への安心感が増し、エンタープライズ採用をさらに後押しする材料となる。",https://techcrunch.com/2026/05/20/anthropic-says-its-about-to-have-its-first-profitable-quarter/
2026-05-27,Anthropic,その他,Andrej Karpathy、AnthropicのPre-trainingチームに電撃加入,Anthropic,AI研究の第一人者でOpenAI共同創業者・元Tesla AI責任者のAndrej KarpathyがAnthropicに加入し事前学習チームで勤務開始。Claude加速専門の新チームも立ち上げ予定。,"AI研究の第一人者でOpenAI共同創業者・元Tesla AI責任者のAndrej KarpathyがAnthropicに加入し、事前学習（Pre-training）チームで勤務を開始。さらにClaudeを使った事前学習研究の加速を専門とする新チームを立ち上げる予定。トップ研究者の合流はAnthropicの次世代Claudeモデルの競争力を高め、OpenAIとGoogleに対するAnthropicの技術的優位性が拡大する可能性がある。",https://www.anthropic.com/news
2026-05-27,xAI・SpaceX,その他,xAI、SpaceXに統合し「SpaceXAI」部門として再出発 — Musk企業再編を発表,StartupHub.ai,Elon MuskはxAIが独立企業として消滅しGrokとXがSpaceXのAI部門「SpaceXAI」として統合されると発表。年間売上5億ドルながら月間バーンレートは10億ドル規模。,"Elon MuskはxAIが独立企業として消滅し、GrokとXがSpaceXのAI部門「SpaceXAI」として統合されると発表。xAIの年間売上は約5億ドル（ARR）に達する一方、月間10億ドルのバーンレートを抱えており、SpaceXの資金力を背景に事業を継続する。Grokの金融・エンタープライズ展開（Morgan Stanley・Apollo等が採用テスト中）がSpaceXブランドの下で加速する可能性があり、日本の金融機関も動向を注視すべき。",https://www.startuphub.ai/ai-news/ai-figures/2026/figure-elon-musk-xai-company-financial-breakdown-2026-05-26
2026-05-27,Google,リリース,Google I/O 2026: Gemini 3.5 Flash発表・Gemini Spark公開β — ユーザー数9億人超に,CNBC,Google I/O 2026でGemini 3.5 Flash（Ultra月額250→200ドルに値下げ）と汎用AIエージェント「Gemini Spark」を発表。Geminiユーザーは1年で2倍超の9億人に拡大し月間25億ユーザーがAI Overviewsを利用。,"Google I/O 2026でGemini 3.5 Flash（Ultra月額250→200ドルに値下げ）と汎用AIエージェント「Gemini Spark」を発表。Geminiユーザーは1年で2倍超の9億人に拡大し、AI Overviewsは月間25億ユーザーに到達。法人向けGemini料金の引き下げと高性能エージェント機能の提供で、Google Workspaceを導入している日本企業のAI活用コストが下がり、導入障壁が低下する。",https://www.cnbc.com/2026/05/19/google-ai-ultra-gemini-spark-omni.html
2026-05-28,OpenAI,資金調達,"OpenAI、機密S-1申請で$852B〜$1兆ドル評価額のIPOへ — 9月上場目標",Enterprise DNA,"OpenAIは5月22日にSECへ機密S-1を提出し、ゴールドマン・サックスとモルガン・スタンレー主幹事で9月上場を目標とする。","OpenAIは2026年5月22日に機密扱いのS-1申請書を提出し、史上最大のAI IPOを目指す。評価額は$852B〜$1兆ドルを想定し、年率$250億の収益基盤を持つが非GAAP営業利益率はマイナス122%と赤字が続く。日本の機関投資家・事業会社にとってAI株への直接投資機会が拓かれ、ChatGPT API依存企業は財務健全性の評価が求められる。",https://enterprisedna.co/resources/news/openai-ipo-confidential-filing-may-2026/
2026-05-28,xAI・SpaceX,提携,"SpaceX（xAI統合）、6月12日に史上最大のIPO初日取引を予定 — 評価額$1.75兆ドル",CNBC,"xAIを統合したSpaceXは評価額$1.75兆ドルのIPOを目指し、ロードショー6月4日・初取引6月12日を予定。","xAIを統合したSpaceXは評価額$1.75兆ドルで史上最大のIPOを目指し、ロードショーを6月4日に開始、初取引を6月12日に予定する。S-1申請ではxAIが年間$140億のキャッシュを燃焼していることが開示された。Grokサービスを活用する日本企業は、統合後の利用規約・サービス体制の移行リスクを確認する必要がある。",https://www.cnbc.com/2026/02/03/musk-xai-spacex-biggest-merger-ever.html
2026-05-28,Anthropic,資金調達,"Anthropic、Q1で売上高80倍成長・Gates財団と$200M提携を締結",Fortune,"AnthropicはQ1売上が80倍に急増し年率$300億に達した。Gates財団との$200M提携も発表し、インフラ不足からMuskのデータセンターを借用する事態に。","AnthropicのQ1売上高は前年比80倍となり年率換算$300億に達した。牽引役はClaude Codeの企業採用拡大で、インフラ不足補填のためMuskのデータセンターサービスを契約。Gates財団との$200M提携も締結し、グローバルヘルスや教育でのAI活用を推進する。日本企業はAPIレート制限強化に備え代替プロバイダーとの並行調達戦略を検討すべきだ。",https://fortune.com/2026/05/08/anthropic-80fold-growth-quarter-renting-elon-musk-data-center/
2026-05-28,Google,リリース,"Google I/O 2026 — Gemini 3.5 Flash発表、汎用AIエージェント「Gemini Spark」もベータ公開",CNBC,"GoogleはGemini 3.5 Flashを発表しUltra月額を$250→$200に値下げ。AIエージェントGemini Sparkがベータ公開され月間ユーザーは9億人に。","Googleはデベロッパーカンファレンスで軽量モデルGemini 3.5 Flashを正式発表し、Ultra月額サブスクを$250→$200に値下げ、新$100の開発者向けティアも追加した。汎用AIエージェントGemini Sparkがベータ公開され接続アプリをまたいで推論・実行が可能になった。月間ユーザーは9億人と前年比倍増。Google Workspaceを基盤とする日本企業はより低コストで業務自動化を実装できるようになる。",https://www.cnbc.com/2026/05/19/google-ai-ultra-gemini-spark-omni.html
2026-05-28,その他,規制,"EU AI法改正案、欧州議会・理事会が合意 — 高リスクAIの期限延長と規制簡略化",EU Council,"EUは5月7日にAI法の改正案で政治的合意に達し、高リスクAIシステムの規制適用期限延長とAI生成コンテンツ新規則を盛り込んだ。","EUは2026年5月7日にAI法の改正案について欧州議会と理事会が政治的合意に達した。高リスクAIシステム（HRAIS）の規制適用期限が延長され、AI生成の性的コンテンツに関する新規則も盛り込まれた。正式採択は2026年7月の見通しで、8月2日の適用開始に合わせて施行される。EU市場に展開する日本のAI製品・サービス提供企業はコンプライアンス対応の猶予延長を活かして体制整備を進めるべきだ。",https://www.consilium.europa.eu/en/press/press-releases/2026/05/07/artificial-intelligence-council-and-parliament-agree-to-simplify-and-streamline-rules/
2026-05-29,Anthropic,資金調達,"Anthropic、四半期で売上高80倍・年換算$30B——マスクのデータセンターを借りて急増需要に対応",Fortune,AnthropicのARRが30億ドルに達し前年同期比80倍を記録。UberやNetflixがClaude Codeを大規模採用し急増する計算需要への対応でマスクのデータセンターを借り受けた。,"AnthropicのARRが30億ドルに達し前年同期比80倍を記録。UberやNetflixがClaude Codeを大規模採用したことが主因で、供給力確保のためイーロン・マスクのデータセンターインフラを借り受けるという異例の措置を取った。Claude Codeを中心としたAIコーディング自動化の導入が日本企業の開発コスト・人員戦略に直結するフェーズに突入したことを示す。",https://fortune.com/2026/05/08/anthropic-80fold-growth-quarter-renting-elon-musk-data-center/
2026-05-29,Google,リリース,"Google I/O 2026——Gemini 3.5 Flash値下げ・汎用エージェントGemini Spark・世界モデルOmni発表",CNBC,Google I/O 2026でGemini 3.5 Flash廉価モデル・汎用エージェントGemini Spark・世界モデルOmniを発表。Ultraサブスクも$250→$200に値下げ。,"Google I/O 2026でGemini 3.5 Flashエンタープライズ向け廉価モデル、複数アプリ横断推論エージェントGemini Spark、物理環境シミュレーション世界モデルOmniを発表。Ultraサブスクリプションは月額$250から$200に値下げ。Gemini 3.5 Flashの価格競争力強化により、Google Workspaceと連携した日本企業のAI導入コスト低減が期待できる。",https://www.cnbc.com/2026/05/19/google-ai-ultra-gemini-spark-omni.html
2026-05-29,OpenAI,その他,"OpenAI、コンサルティング子会社「DeployCo」設立——評価額$14B・$4B超調達",Axios,OpenAIがAI実装コンサルを担う独立子会社DeployCo設立。TPG・ゴールドマン・マッキンゼーらが出資しAIコンサル企業Tomoroも買収した。,"OpenAIがAI実装コンサルティングを担う独立子会社DeployCo（OpenAI Deployment Company）を設立。TPG・ゴールドマン・マッキンゼー・ベインなどが参加する$4B超のコンソーシアムが出資し、AIコンサル企業Tomoroを買収して150名のエンジニアを組み込んだ。OpenAIが直接DX支援サービスを提供する体制を整えたことで、日本のSIerやコンサルがOpenAIとの競合・協業戦略を見直す必要が生じる。",https://www.axios.com/2026/05/11/openai-deployco-private-equity
2026-05-29,xAI・SpaceX,資金調達,"SpaceX-xAI統合体、評価額$1.25兆ドルで世界最高値の未上場企業に——Grok Buildコーディングエージェントも始動",StartupHub.ai,SpaceX-xAI統合体の評価額が1.25兆ドルに達し世界最高値の未上場企業となった。ARR5億ドル・月額$300のGrok Buildコーディングエージェントも正式ローンチ。,"2月に合併したSpaceX-xAI統合体の評価額が1.25兆ドルに達し世界最高値の未上場企業となった。ARRは5億ドルで2026年通期$20億ドル目標。月額$300のSuperGrok Heavyユーザー向けコーディングエージェント「Grok Build」を正式ローンチし、デイリーリリースノートも開始。モルガン・スタンレーやアポロなどウォール街への浸透加速が日本の金融・製造業向けAIサービス市場にも波及しうる。",https://www.startuphub.ai/ai-news/ai-figures/2026/figure-elon-musk-xai-company-financial-breakdown-2026-05-26
2026-05-29,その他（EU）,規制,"EU AI法改正で合意——高リスクAIの適用期限を最大16か月延長・AI生成性的コンテンツ規制を追加",EU Council,EU理事会と欧州議会が2026年5月7日にAI法改正案で政治合意。高リスクAI適用期限を最大16か月延長しAI生成性的コンテンツへの新規則を追加した。,"EU理事会と欧州議会が2026年5月7日にAI法改正案で政治合意。高リスクAIシステムへの規則適用期限を最大16か月延長し、AI生成の性的コンテンツに関する新規則を追加。企業の準拠負担を軽減しつつ安全性を維持する方向で整理された。EU市場に進出する日本企業はAI法の遵守スケジュールを再確認できる一方、改正内容の詳細把握と法務対応の更新が引き続き必要だ。",https://www.consilium.europa.eu/en/press/press-releases/2026/05/07/artificial-intelligence-council-and-parliament-agree-to-simplify-and-streamline-rules/
2026-05-30,Anthropic,資金調達,"Anthropic、評価額$965Bに到達しOpenAIを抜いて最高評価のAIスタートアップへ",CNBC,"シリーズHで650億ドル調達、評価額9,650億ドルへ急伸し年換算ARR470億ドルを達成","AnthropicがシリーズHで650億ドルを調達し企業評価額を9,650億ドルへと急伸させた。2026年2月時点の3,800億ドルから3か月で約3倍に膨らみ、ライバルOpenAIを抜いて未上場AIスタートアップ最高評価額を更新した。収益面でも年換算ランレートが470億ドルに達し、主要投資家であるAmazonとAlphabetの含み益も爆発的に拡大。日本企業のAI基盤選定においてClaude採用の優位性が高まり、Anthropicとのエンタープライズ契約競争が激化する可能性がある。",https://www.cnbc.com/2026/05/28/anthropic-open-ai-startup-value.html
2026-05-30,xAI・SpaceX,提携,"SpaceXとxAIが統合、「SpaceXAI」として時価総額1.25兆ドルの新組織に",StartupHub.ai,"マスク氏がxAIの解散を正式発表。GrokとXをSpaceXのAI部門「SpaceXAI」に統合し合算時価総額1.25兆ドルに","マスク氏がxAIの独立組織としての解散を発表し、GrokとXはSpaceXのAI部門「SpaceXAI」に統合された。合算時価総額1.25兆ドルの巨大組織が誕生し、月次バーンレートは約10億ドル・ARRは5億ドルとされる。宇宙・AI・SNSの垂直統合により、Starlink衛星通信とAIを組み合わせたサービスが日本市場でも強力な競争要因になりうる。",https://www.startuphub.ai/ai-news/ai-figures/2026/figure-elon-musk-xai-company-financial-breakdown-2026-05-26
2026-05-30,Google,リリース,"Google I/O 2026：Gemini 3.5 Flashと汎用AIエージェント「Gemini Spark」を発表",CNBC,"月間アクティブ9億人のGeminiがSpark（マルチアプリ推論エージェント）と低価格3.5 Flashで企業市場攻略を加速","GoogleがI/O 2026でGemini 3.5 Flashと連携アプリを横断推論できるエージェント「Gemini Spark」を発表。月間アクティブユーザーは9億人に達し前年比2倍以上。Google AI Ultraサブスクリプションは月250ドルから200ドルに値下げし企業獲得を狙う。Gemini Sparkによるマルチアプリ自動化が普及すれば日本企業のGoogle Workspace活用が加速する。",https://www.cnbc.com/2026/05/19/google-ai-ultra-gemini-spark-omni.html
2026-05-30,その他,規制,"EUがAI規制法（AI Act）を簡素化・期限延長で合意、高リスクAI要件を緩和",EU Council,"EU理事会と欧州議会がAI Act改正で合意。高リスクAIのコンプライアンス期限延長と規制簡素化を実現","EU理事会と欧州議会が高リスクAIシステムへのコンプライアンス期限延長と規制簡素化に合意した。AI生成親密コンテンツに関する新ルールも追加され、既存要件の明確化も図られた。EU向けAI製品・サービスを展開する日本企業にとって準拠コストが一部緩和され、欧州展開計画の見直し機会となる。",https://www.consilium.europa.eu/en/press/press-releases/2026/05/07/artificial-intelligence-council-and-parliament-agree-to-simplify-and-streamline-rules/
2026-05-30,Microsoft,リリース,"Microsoft 365 Copilotが大規模リデザイン、タスク認識型ワークスペースへ進化",Microsoft 365 Blog,"Copilot UIを全面刷新しタスク認識型ワークスペースに移行。Copilot Studioは企業向けエージェントプラットフォームに昇格","Microsoft 365 CopilotがUI全面刷新でタスク認識型ワークスペースに移行し、Copilot Studioは企業向けエージェントプラットフォームとして機能を大幅強化した。iOS/AndroidへのCopilot Cowork拡大によりモバイル環境での業務委任も可能になった。Microsoft 365を既に導入している日本企業はアップグレードにより業務エージェント機能をすぐ活用でき、ROI向上が期待できる。",https://www.microsoft.com/en-us/microsoft-365/blog/2026/05/28/introducing-a-new-design-for-microsoft-365-copilot/
2026-05-31,Anthropic,資金調達,"Anthropic、$65B調達でOpenAIを抜き約$1兆評価額のAI最高値企業に",CNBC,AnthropicがSeries Hで650億ドル調達し評価額9650億ドルに達しOpenAI超え,"AnthropicがSeries Hで650億ドルを調達し企業評価額9,650億ドルを記録。OpenAIを抜きシリコンバレー最高値AIスタートアップとなった。年間収益ランレートは470億ドルに急拡大しClaude Opus 4.8リリースや欧州・韓国オフィス開設も加速。日本企業はGPT一辺倒からマルチLLM戦略への転換を迫られる局面。",https://www.cnbc.com/2026/05/28/anthropic-open-ai-startup-value.html
2026-05-31,Google,リリース,"Google I/O 2026: Gemini Omni・Gemini 3.5 Flash・Gemini Sparkを一挙発表",CNBC,"映像生成モデルGemini Omni、高速モデルGemini 3.5 Flash、エージェントGemini Sparkを発表","GoogleはI/O 2026でGemini Omni・Gemini 3.5 Flash・Gemini Sparkを一挙発表。月次アクティブユーザーが9億人に達し、Ultraプランを月250ドルから200ドルへ値下げ。開発者向け100ドルプランも新設された。Google Workspaceを利用する日本企業はGemini Sparkによる業務自動化の恩恵を早期に受けられる見込み。",https://www.cnbc.com/2026/05/19/google-ai-ultra-gemini-spark-omni.html
2026-05-31,その他,規制,"EUがAI規制法（AI Act）を改正合意——高リスクAIの義務開始を16カ月延期",EU Council,EU三者機関がAI Act改正に合意し高リスクAI義務を2026年8月から2027年12月へ延期,"EU理事会・欧州議会・欧州委員会が2026年5月7日にAI Act改正案に暫定合意。高リスクAI義務適用を16カ月延期する一方、非合意性的画像生成ツールへの禁止条項を新設。EU向けAI製品を展開する日本企業はコンプライアンス準備の猶予が生まれたが禁止事項強化部分は即時対応が必要。",https://www.consilium.europa.eu/en/press/press-releases/2026/05/07/artificial-intelligence-council-and-parliament-agree-to-simplify-and-streamline-rules/
2026-05-31,Microsoft,リリース,"Microsoft、Copilotツール群を束ねる「スーパーアプリ」を夏末までに投入へ",Fortune,GitHub Copilot・Copilotチャット・Autopilotを単一アプリ化するスーパーアプリを夏末に投入予定,"MicrosoftがGitHub Copilot・Copilotチャット・Copilot Cowork・新エージェント「Autopilot」を単一アプリに統合したスーパーアプリを2026年夏末に投入する計画。同時に5月28日にMicrosoft 365 Copilotの大規模UIリデザインも開始。Microsoft 365利用の日本企業はAIツール学習コストを大幅削減できる見込み。",https://fortune.com/2026/05/29/microsoft-working-on-super-app/
2026-05-31,xAI・SpaceX,提携,"xAI、モルガン・スタンレーなどウォール街へGrokを展開——SpaceX合算で$1.25兆評価",Bloomberg,xAIがウォール街大手へGrok採用を働きかけSpaceX合算事業体は評価額1.25兆ドルに,"xAIがモルガン・スタンレー・アポロ・グローバルなどウォール街大手にGrokの採用を働きかけており、SpaceXとxAIの合算事業体は評価額1.25兆ドルに達した。月間消費額約10億ドルに対し年間換算収益は5億ドルと財務圧迫が続く。金融領域でGrokが浸透した場合、日本の金融機関もGrok採用を検討する動きが出てくる可能性がある。",https://www.bloomberg.com/news/articles/2026-05-13/musk-s-xai-races-to-get-wall-street-firms-to-use-grok-chatbot
2026-06-01,Anthropic,提携,"Anthropic × Amazon、最大5GWコンピュート供給契約を拡大締結",Anthropic,AnthropicとAmazonが最大5GWの計算リソースを確保する大型インフラ契約を締結,"AnthropicとAmazon Web Servicesが最大5ギガワットの計算リソースを確保する大型インフラ契約の拡大に合意。5GWは原子力発電所5基分に相当する電力規模でAI業界史上最大級のコンピュート契約の一つ。Claude次世代モデルの学習・推論基盤を大幅に強化し、AWS Japan経由でClaude APIを利用する日本企業のサービス品質・安定性向上が見込まれる。",https://www.anthropic.com/news/anthropic-amazon-compute
2026-06-01,Anthropic,資金調達,"Anthropic、Q1売上$4.8B・Q2目標$10.9Bで初の四半期黒字$5.59億を達成",Crypto Briefing,Anthropicが2026年Q1に初の四半期黒字を達成しQ2には$10.9B売上を予測,"Anthropicが2026年Q1に売上高48億ドル・営業利益5.59億ドルで初の四半期黒字を達成。Q2には109億ドルの売上を予測しており年換算ランレートは300億ドル超に拡大。エンタープライズAI需要の急拡大が背景で、日本企業がAnthropicをOpenAIと並ぶ本命AIパートナーとして本格採用する根拠が強まった。",https://cryptobriefing.com/anthropic-revenue-4-8b-projects-10-9b/
2026-06-01,OpenAI,リリース,"OpenAI、GPT-5.3-Codex発表 & Frontier Governance Framework公開",OpenAI,OpenAIがGPT-5とCodex統合の最新コーディングエージェントモデルとガバナンス枠組みを公開,"OpenAIがGPT-5とCodex学習スタックを統合した「GPT-5.3-Codex」を発表し同日GartnerのエンタープライズコーディングエージェントでLeader選定。5月29日にはAIフロンティアモデルの安全利用を規定する「Frontier Governance Framework」を公開。日本のソフトウェア開発企業はGPT-5.3-Codexによるコード生成・レビュー自動化で開発生産性を大幅に引き上げる機会が生まれる。",https://openai.com/news/
2026-06-01,Microsoft,リリース,"Microsoft Build 2026（6/2-3開催）：独自MAIモデル群でGitHub Copilotを完全内製化へ",Windows Forum,MicrosoftがBuild 2026で独自MAIモデル群を発表しGitHub Copilotの外部LLM依存を減らす計画,"MicrosoftがサンフランシスコでBuild 2026（6月2〜3日）を開催しMAI-Image-2.5・MAI-Voice-2・MAI-Transcribe-1.5など独自MAIモデル群を発表する見込み。外部LLM依存を減らしGitHub Copilotを内製AIで強化する戦略を明らかにする。GitHub Copilotを業務に組み込んでいる日本の開発チームはより高速・低コストの独自モデルへのシームレスな移行が期待できる。",https://windowsforum.com/threads/microsoft-build-2026-homegrown-ai-models-to-power-github-copilot.420887/
2026-06-01,xAI・SpaceX,リリース,"xAI Grok V9 Medium（1.5兆パラメータ）訓練完了、6月中旬リリースへ",Basenor,Grok V9 Medium（1.5兆パラメータ）の訓練が完了し6月中旬のパブリックリリースを目標,"マスクが5月25日にGrok V9 Mediumの訓練完了を確認。1.5兆パラメータで現行V8 Smallの3倍規模となり6月中旬のパブリックリリースを目標としている。xAIは毎日ビルドアップデートを公開する透明性戦略も採用。日本のX（旧Twitter）プレミアムユーザー・API利用企業は飛躍的に強化されたAI機能を利用できるようになる。",https://www.basenor.com/blogs/news/xai-now-publishes-daily-grok-build-updates-heres-where-to-track-them
2026-06-02,Anthropic,資金調達,Anthropic、SEC に IPO 機密申請 ── 評価額 9650 億ドルで OpenAI を上回る,Fortune,"Anthropic が SEC に機密 IPO 申請書を提出。評価額 $9,650 億で OpenAI を超え、上場後は AI 史上最大 IPO となる見通し。","Anthropic が 6 月 1 日に SEC へ機密 IPO 申請書を提出し、OpenAI に先んじて上場レースをリードした。先週完了した $650 億シリーズ H でポストマネー評価額は $9,650 億に達し、年間収益実行レートは $470 億と急拡大している。Blackstone・Brookfield など機関投資家が参加し、資本構造の大型化が進む。Claude API に依存する日本企業は上場後の価格・利用規約変更リスクへの備えが急務だ。",https://fortune.com/2026/06/01/anthropic-confidentially-files-ipo-965-billion-valuation/
2026-06-02,OpenAI,規制,"フロリダ州、OpenAI と CEO アルトマンを提訴 ── 米州初の AI 安全性訴訟",CNBC,フロリダ州 AG が OpenAI と CEO アルトマンを個人名義で提訴。ChatGPT の安全リスクを知りながら未成年者向けに提供し続けたと主張し他州も追随する可能性を示唆。,"フロリダ州司法長官 James Uthmeier が 6 月 1 日、OpenAI と CEO サム・アルトマンを個人名義で含む民事訴訟を提起した。同社が安全上のリスクを把握しながらも速度優先・商業優先で ChatGPT を提供し続けたと主張し、2025 年フロリダ州立大銃撃事件への関与も指摘している。アルトマンの「人命へのまったき無視」という強い文言を盛り込み、同州知事は他州の追随を見込んでいる。ChatGPT を未成年向けサービスに組み込む日本企業はリスク審査と利用ガイドラインの整備を急ぐ必要がある。",https://www.cnbc.com/2026/06/01/florida-ag-open-ai-altman-lawsuit.html
2026-06-02,Microsoft,リリース,GitHub Copilot がトークン課金に移行 ── 開発者コスト 10〜50 倍の衝撃,TechCrunch,GitHub Copilot が 6 月 1 日から定額制廃止・従量課金に移行。エージェント多用ユーザーの月額が 10〜50 倍に跳ね上がり公式フォーラムに 900 件超の苦情が殺到。,"GitHub Copilot が 6 月 1 日より 1 GitHub AI Credit=$0.01 のトークン消費量ベース課金に完全移行した。月 $29 が $750 超になったとの報告や月 $50 が $3,000 超になるとの試算も共有され、公式コミュニティスレッドは 904 ダウン投票・435 コメントを記録した。背景には 2026 年 1 月以降ほぼ週次で倍増し続けた運用コストがあり、Microsoft が損失を補填しきれなくなったとされる。Copilot を大量利用する日本の開発チームは即座にコスト試算を行い他ツールへの移行を検討すべきだ。",https://techcrunch.com/2026/05/30/what-a-joke-github-copilots-new-token-based-billing-spurs-consternation-among-devs/
